"idcomm","id","pop2000","commtrust","male","white","married","relighet","disadvantage","age","educate","income","commlength","trust"
35,30082,524,0.586366713047028,0,1,1,0.146669059991837,0.740575611591339,59,3,3,41,0
35,30083,524,-0.334955960512161,1,1,0,0.146669059991837,0.740575611591339,29,5,4,27,0
35,30084,524,-0.341044664382935,0,1,1,0.146669059991837,0.740575611591339,66,7,5,46,0
35,30085,524,-0.46968612074852,0,1,0,0.146669059991837,0.740575611591339,32,6,8,9,0
35,30086,524,-0.922073721885681,0,1,0,0.146669059991837,0.740575611591339,63,4,2,54,0
35,30087,524,1.6528981924057,1,1,1,0.146669059991837,0.740575611591339,69,3,4,69,1
35,30089,524,0.192817613482475,0,1,0,0.146669059991837,0.740575611591339,67,5,6,67,0
35,30090,524,0.326632440090179,0,1,1,0.146669059991837,0.740575611591339,41,6,6,18,0
35,30091,524,-0.693851172924042,1,1,1,0.146669059991837,0.740575611591339,42,3,5,42,0
35,30092,524,0.412031531333923,0,1,0,0.146669059991837,0.740575611591339,77,4,3,57,0
35,30094,524,0.501264095306396,0,1,1,0.146669059991837,0.740575611591339,47,4,6,10,0
35,30095,524,0.397500276565552,1,1,1,0.146669059991837,0.740575611591339,69,4,3,65,0
35,30096,524,0.253038257360458,0,1,1,0.146669059991837,0.740575611591339,53,3,5,30,0
35,30104,524,-0.796310722827911,1,1,0,0.146669059991837,0.740575611591339,67,3,2,42,0
35,30106,524,-0.263566106557846,0,1,1,0.146669059991837,0.740575611591339,47,3,7,1,0
35,30107,524,-0.0340020321309567,1,1,1,0.146669059991837,0.740575611591339,64,3,3,27,0
35,30108,524,0.0652875676751137,0,0,1,0.146669059991837,0.740575611591339,46,6,3,18,0
35,30111,524,-0.586338102817535,1,1,1,0.146669059991837,0.740575611591339,53,3,5,54,0
35,30112,524,1.25098419189453,1,1,0,0.146669059991837,0.740575611591339,63,3,3,53,1
35,30113,524,-1.09138572216034,1,1,1,0.146669059991837,0.740575611591339,25,4,5,25,0
35,30114,524,-2.56387829780579,0,1,0,0.146669059991837,0.740575611591339,41,5,6,14,0
35,30115,524,-0.1515723913908,1,1,0,0.146669059991837,0.740575611591339,38,3,6,6,0
35,30118,524,-0.426376134157181,1,1,1,0.146669059991837,0.740575611591339,59,3,4,59,0
35,30120,524,0.376583367586136,0,1,1,0.146669059991837,0.740575611591339,44,3,6,21,0
35,30121,524,-0.0123323695734143,1,1,0,0.146669059991837,0.740575611591339,44,3,4,20,0
35,30122,524,0.176005944609642,0,1,1,0.146669059991837,0.740575611591339,56,4,3,50,0
35,30123,524,1.76207518577576,1,1,1,0.146669059991837,0.740575611591339,66,3,5,43,1
35,30124,524,-0.460018873214722,0,0,1,0.146669059991837,0.740575611591339,38,4,2,20,0
35,30125,524,0.0900163426995277,1,1,1,0.146669059991837,0.740575611591339,62,3,5,62,0
35,30126,524,-0.423119127750397,0,1,1,0.146669059991837,0.740575611591339,28,3,8,10,0
35,30127,524,-0.658868908882141,1,1,1,0.146669059991837,0.740575611591339,37,5,7,37,0
