"state","robbrate","larcrate","assrate","burgrate","murdrate","fips","suicrate","asuicrat","suicrt65","pop_cen","land","density","unemprat","pop_24","pop_65","proprate","violrate","crimrate","mig_rate","perinc","gsprod","permale","perfemale"
"Nebraska",65.1800003051758,3179.22998046875,294.5,631.890014648438,2.93219304084778,31,10.8999996185303,11.3999996185303,17.9599990844727,1635414,76878,21.2700004577637,2.90000009536743,602398,228197,4162.490234375,381.980010986328,4544.47021484375,183.439788818359,21.0779991149902,0.436729997396469,48.9380569458008,51.0619430541992
"Nevada",324.579986572266,3566.2099609375,548.690002441406,1322.55004882813,10.6535949707031,32,24.3999996185303,25.7999992370605,37.189998626709,1528363,109806,13.9200000762939,5.40000009536743,526577,174760,5634.18017578125,945.159973144531,6579.35009765625,15703.076171875,24.5249996185303,0.486699998378754,50.9882125854492,49.0117874145508
"New Hampshire",27.3500003814697,1977.18005371094,56.2700004577637,418.640014648438,1.82926833629608,33,12.3999996185303,11.8999996185303,7.98000001907349,1146183,8969,127.790000915527,4.19999980926514,390644,137782,2540.93994140625,114.459999084473,2655.39990234375,-436.230529785156,25.3409996032715,0.318019986152649,49.1777000427246,50.8222999572754
"New Jersey",283.019989013672,2597.09008789063,287.350006103516,875.179992675781,5.14789152145386,34,6.80000019073486,7.30000019073486,9.86999988555908,7962255,7419,1073.21997070313,6.19999980926514,2642632,1094096,4103.91015625,599.77001953125,4703.68994140625,-2951.42529296875,29.5809993743896,2.66133999824524,48.4899444580078,51.5100555419922
"New Mexico",154.539993286133,3648.55004882813,599.289978027344,1447.06005859375,8.78338241577148,35,17.2000007629395,17.6000003814697,29.1200008392334,1683773,121364,13.8699998855591,8.10000038146973,665365,185403,5608.77978515625,819.22998046875,6428.009765625,3563.42578125,18.0030002593994,0.407590001821518,49.3313293457031,50.6686706542969
"New York",399.709991455078,2344.419921875,409.959991455078,808.130004882813,8.54653739929199,36,7.09999990463257,7.5,10.2200002670288,18144950,47224,384.230010986328,6.19999980926514,6185319,2426189,3718.25,841.880004882813,4560.1298828125,-5803.267578125,27.5779991149902,5.87714004516602,48.1518440246582,51.8481559753418
"North Carolina",179.240005493164,3264.919921875,425.5,1417.57995605469,9.40931224822998,37,11.6000003814697,12.6000003814697,19.4799995422363,7185920,48718,147.5,4.30000019073486,2520300,903237,4993.1298828125,646.390014648438,5639.52978515625,3938.25708007813,20.9939994812012,1.92218995094299,48.5883522033691,51.4116477966309
"North Dakota",9.97999954223633,2249.77001953125,53.0400009155273,350.700012207031,0.936037421226501,38,14.6999998092651,14.6999998092651,11.7700004577637,641374,68994,9.30000019073486,3.09999990463257,235795,93393,2779.56005859375,86.7399978637695,2866.30004882813,-2806.47485351563,18.2870006561279,0.144769996404648,49.9284477233887,50.0715522766113
"Ohio",178.740005493164,2669.03002929688,254.979995727539,838.840026855469,5.38068342208862,39,8.89999961853027,9.69999980926514,15.6899995803833,11137663,40953,271.959991455078,4.90000009536743,3919246,1490603,3922.72998046875,482.459991455078,4405.18994140625,-466.884307861328,22.2329998016357,2.92103004455566,48.3792839050293,51.6207160949707
"Oklahoma",115.559997558594,3164.34008789063,491.790008544922,1271.93005371094,12.2025623321533,40,14.6999998092651,15.3000001907349,21.2199993133545,3271276,68679,47.6300010681152,4.09999990463257,1206823,442905,4932.669921875,664.119995117188,5596.7998046875,825.366027832031,18.5599994659424,0.686110019683838,48.8931159973145,51.1068840026855
"Oregon",137.919998168945,4236.7099609375,338.679992675781,1102.82995605469,4.10697221755981,41,14.6999998092651,15.8000001907349,23.7299995422363,3141180,96002,32.7200012207031,5.90000009536743,1082132,425524,6041.5498046875,522.380004882813,6563.93017578125,5953.1767578125,21.5790004730225,0.808049976825714,49.3924598693848,50.6075401306152
"Pennsylvania",189.350006103516,1963.15002441406,206.490005493164,561.75,6.25414180755615,42,11.3999996185303,12.1000003814697,15.039999961853,12039775,44820,268.630004882813,5.30000019073486,3972419,1907909,2937.57006835938,427.320007324219,3364.88989257813,-622.935241699219,23.2700004577637,3.1329300403595,48.1246757507324,51.8753242492676
"Rhode Island",92.3199996948242,2503.03002929688,245.350006103516,932.72998046875,3.33333325386047,44,7.90000009536743,9,13.4700002670288,989295,1045,946.690002441406,5.09999990463257,326513,155863,3876.57006835938,367.980010986328,4244.5498046875,-4649.77587890625,23.4799995422363,0.250459998846054,48.1109733581543,51.8890266418457
"South Carolina",175.910003662109,3441.76000976563,750.799987792969,1254.64001464844,7.94990491867065,45,11.3000001907349,11.8000001907349,11.5799999237061,3699305,30111,122.860000610352,6,1327128,440061,5081.83984375,981.950012207031,6063.7900390625,946.123657226563,18.871000289917,0.852699995040894,48.2994804382324,51.7005195617676
"South Dakota",25.9300003051758,2191.5,138.820007324219,540.739990234375,1.7832647562027,46,11.8000001907349,11.6999998092651,15.1899995803833,734533,75896,9.68000030517578,3.20000004768372,278194,105319,2853.09008789063,207.539993286133,3060.6298828125,1089.12731933594,18.7819995880127,0.186619997024536,49.3232345581055,50.6767654418945
"Tennessee",223.210006713867,2799.52001953125,490.540008544922,1143.18994140625,10.597412109375,47,12.1000003814697,13,18.6299991607666,5235124,41219,127.01000213623,5.19999980926514,1827968,660163,4591.22998046875,771.47998046875,5362.7099609375,4259.68896484375,21.1180000305176,1.34872996807098,48.3259353637695,51.6740646362305
"Texas",179.809997558594,3377.85009765625,429.290008544922,1082.26000976563,9.04187107086182,48,11.6000003814697,11.8999996185303,20.5599994659424,18694223,261914,71.379997253418,5.59999990463257,7334206,1901476,5020.47021484375,663.869995117188,5684.33984375,1717.10803222656,21.2789993286133,5.14205980300903,49.3915061950684,50.6084938049316
"Utah",67.0899963378906,4572.1201171875,215.070007324219,800.77001953125,3.8954381942749,49,15.1999998092651,14.6000003814697,12.6899995803833,1991495,82168,24.2399997711182,3.5,925419,173351,5762.02001953125,328.809997558594,6090.830078125,3565.16088867188,18.181999206543,0.455540001392365,49.8125190734863,50.1874809265137
"Vermont",10.9399995803833,2418.80004882813,76.9199981689453,760.849975585938,2.22222232818604,50,11.8000001907349,13,28.3299999237061,582442,9249,62.9700012207031,4.59999990463257,201343,70595,3315.3798828125,118.290000915527,3433.67993164063,515.07275390625,21.2369995117188,0.13866999745369,49.2272262573242,50.7727737426758
"Virginia",131.729995727539,2740,194.940002441406,595.159973144531,7.60048341751099,51,11.3999996185303,12.5,22.1599998474121,6601639,39598,166.720001220703,4.40000009536743,2278815,735466,3627.73999023438,361.450012207031,3989.19995117188,924.012939453125,24,1.86986005306244,49.017993927002,50.982006072998
"Washington",132.740005493164,4140.31982421875,287.279998779297,1091.23999023438,5.06352424621582,53,13.3999996185303,14.3999996185303,23.5900001525879,5433068,66581,81.5999984741211,6.5,1921844,631384,5785.5498046875,484.260009765625,6269.7998046875,5098.40869140625,23.6639995574951,1.50001001358032,49.7653160095215,50.2346839904785
"West Virginia",42.7200012207031,1516.63000488281,141.360000610352,565.039978027344,4.86870908737183,54,13.6000003814697,15.1000003814697,22.75,1821613,24087,75.629997253418,7.5,616794,276850,2247.97998046875,210.179992675781,2458.14990234375,1097.92810058594,17.4459991455078,0.36039000749588,48.2435340881348,51.7564659118652
"Wisconsin",105.089996337891,2627.82006835938,148.389999389648,613.22998046875,4.27483892440796,55,11.6000003814697,12.1999998092651,18.0599994659424,5136937,54314,94.5800018310547,3.5,1827797,681049,3604.6298828125,281.070007324219,3885.68994140625,1382.14660644531,22.0839996337891,1.32703995704651,49.1641311645508,50.8358688354492
"Wyoming",17.9200000762939,3286.25,199.789993286133,612.080017089844,2.08333325386047,56,16.7000007629395,17.1000003814697,26.3999996185303,478364,97105,4.92999982833862,5,185540,53018,4066.0400390625,254.169998168945,4320.2099609375,1254.27502441406,20.6949996948242,0.15760999917984,50.3428688049316,49.6571311950684
